"Name","Id","Impressions","Clicks","Installs","Spend","eCPM","CTR","CVR","CPI"
"DC_iOS_US_ExplorationTest_WL","5f0357acd78cfa00173fa2c6","23273","9751","124","502.5","21.59154384909552","41.8983","0.5328","4.0524"
"ML_iOS_FR_2020_RON","5ef2da1e7c5bc40015f75c6e","33532","22326","142","170.3","5.078730764642729","66.5812","0.4235","1.1993"
"ML_iOS_DE_2020_RON","5ef2c0a2ba72eb001577c801","20923","15292","106","217.25","10.38331023275821","73.087","0.5066","2.0495"
"ML_AND_US_2020_RON","5ef21b74f4c73c0015e39023","10230","6182","101","141.6","13.841642228739003","60.4301","0.9873","1.402"
"ML_iOS_AU_2020_RON","5ee2489183ba7500162f1391","23298","17753","173","288.2","12.370160528800758","76.1997","0.7426","1.6659"
"ML_iOS_UK_2020_RON","5ee0dfad20275b001690a520","24300","17781","248","310.8","12.790123456790122","73.1728","1.0206","1.2532"
"ML_iOS_CA_2020_RON","5ece1adb7acee200159296a0","16150","12375","113","206.4","12.780185758513932","76.6254","0.6997","1.8265"
"DC_iOS_US_BL","5ec547bdc3912a0016e29955","4058","2369","54","80.8","19.911286347954658","58.3785","1.3307","1.4963"
"DC_iOS_US_Playables","5e8f299764c56d0010b59d3f","11","4","0","0","0","36.3636","0",""
"DC_iOS_US_Banners","5e752070c6aa991c4f0d71a1","4481","17","0","0","0","0.3794","0",""
"ML_iOS_US_2020_WL_High","5e751e2496ffa61c69d7d1a7","644","376","6","17","26.39751552795031","58.3851","0.9317","2.8333"
"DC_iOS_UK_Creatives_Test","5e6aef1d96ffa61c69d7b19d","6","2","0","0","0","33.3333","0",""
"ML_iOS_US_2020_RON_LOW","5e1f29955119200016ed513d","85995","66402","897","2423.95","28.187103901389616","77.2161","1.0431","2.7023"
"DC_iOS_US_RON","5bf68e55a4d4350017ce49cc","16261","9819","225","473.95","29.146423959166107","60.3837","1.3837","2.1064"